Altium Designer Pick and Place Locations
C:\Users\Richard Tomasovic\AppData\Local\Temp\Releases\Snapshot\1\Assembly Production\Pick Place\Pick Place for BRR_CB_P03_REV_A1_1-STM32MP157(Production).txt

========================================================================================================================
File Design Information:

Date:       25/03/25
Time:       09:35
Revision:   Not in VersionControl
Variant:    Production
Units used: mil

Center-X(mil) Center-Y(mil) Comment                  Description                                                                                             Designator Footprint                        Layer       Rotation 
2125.984      2055.118      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C69        CAP0402                          BottomLayer 180      
2188.976      2141.732      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C68        CAP0402                          BottomLayer 0        
2188.976      2236.220      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C67        CAP0402                          BottomLayer 180      
2314.961      2236.220      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C66        CAP0402                          BottomLayer 180      
2000.000      2141.732      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C65        CAP0402                          BottomLayer 180      
2251.968      2216.535      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C64        CAP0402                          BottomLayer 0        
2125.984      2141.732      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C63        CAP0402                          BottomLayer 0        
2062.992      1964.567      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C62        CAP0402                          BottomLayer 180      
2059.055      2055.118      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C61        CAP0402                          BottomLayer 180      
2125.984      2216.535      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C60        CAP0402                          BottomLayer 0        
1995.490      3548.983      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C59        CAP0402                          TopLayer    180      
2314.961      1763.780      10u                      "CAP CER 10u 10% 6.3V 0603 X5R"                                                                         C58        CAP0603                          BottomLayer 0        
2338.583      3436.964      10u                      "CAP CER 10u 10% 6.3V 0603 X5R"                                                                         C57        CAP0603                          TopLayer    90       
1964.567      3427.122      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C56        CAP0402                          TopLayer    180      
1893.701      3409.449      10u                      "CAP CER 10u 10% 6.3V X7R 0805"                                                                         C55        CAP0805                          TopLayer    90       
1291.339      3594.488      10u                      "CAP CER 10u 10% 25V X7R 1206"                                                                          C54        CAP1206                          TopLayer    270      
1200.787      3582.677      100n                     "CAP CER 100n 10% 25V X7R 0603"                                                                         C53        CAP0603                          TopLayer    270      
1492.126      3618.110      100n                     "CAP CER 100n 10% 25V X7R 0603"                                                                         C52        CAP0603                          TopLayer    90       
2947.638      3157.480      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C51        CAP0402                          TopLayer    270      
3468.504      1480.315      470n                     "CAP CER 470n 10% 50V 0603"                                                                             C50        CAP0603                          TopLayer    270      
1854.331      3302.205      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C49        CAP0402                          BottomLayer 90       
1854.331      3232.620      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C48        CAP0402                          BottomLayer 90       
2377.768      3413.386      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C47        CAP0402                          BottomLayer 0        
1854.331      3161.417      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C46        CAP0402                          BottomLayer 90       
2535.433      3302.205      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C45        CAP0402                          BottomLayer 270      
1854.331      2779.528      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C44        CAP0402                          BottomLayer 90       
1854.331      2968.504      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C43        CAP0402                          BottomLayer 90       
2535.433      3232.620      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C42        CAP0402                          BottomLayer 270      
2000.000      3413.386      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C41        CAP0402                          BottomLayer 0        
2535.433      3161.417      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C40        CAP0402                          BottomLayer 270      
2535.433      3065.945      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C39        CAP0402                          BottomLayer 270      
1854.331      3066.929      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C38        CAP0402                          BottomLayer 90       
2412.409      2910.471      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C37        CAP0402                          TopLayer    180      
1964.567      3047.244      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C36        CAP0402                          TopLayer    180      
1854.331      2874.016      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C35        CAP0402                          BottomLayer 90       
2535.433      2779.528      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C34        CAP0402                          BottomLayer 270      
2535.433      2875.000      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C33        CAP0402                          BottomLayer 270      
2535.433      2970.473      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C32        CAP0402                          BottomLayer 270      
1964.567      2877.953      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C31        CAP0402                          TopLayer    180      
2412.484      2756.104      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C30        CAP0402                          TopLayer    0        
1964.927      3243.570      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C29        CAP0402                          TopLayer    0        
1964.567      3165.354      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C28        CAP0402                          TopLayer    0        
2412.151      2834.117      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C27        CAP0402                          TopLayer    0        
2413.035      3071.057      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C26        CAP0402                          TopLayer    180      
2412.454      3243.440      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C25        CAP0402                          TopLayer    180      
2485.719      3207.663      10u                      "CAP CER 10u 10% 6.3V X7R 0805"                                                                         C24        CAP0805                          TopLayer    90       
1893.701      3204.724      10u                      "CAP CER 10u 10% 6.3V X7R 0805"                                                                         C23        CAP0805                          TopLayer    270      
1905.512      1555.118      100n                     "CAP CER 100n 10% 6.3V X7R 0603"                                                                        C22        CAP0603                          TopLayer    90       
1968.504      1555.118      4u7                      "CAP CER 4u7 10% 6.3V X7R 0805"                                                                         C21        CAP0805                          TopLayer    90       
1803.724      1104.178      100n                     "CAP CER 100n 10% 6.3V X7R 0603"                                                                        C20        CAP0603                          BottomLayer 270      
1874.590      1104.178      10u                      "CAP CER 10u 10% 6.3V X7R 0805"                                                                         C19        CAP0805                          BottomLayer 270      
1524.197      1222.288      100n                     "CAP CER 100n 10% 6.3V X7R 0603"                                                                        C18        CAP0603                          BottomLayer 180      
1524.197      1301.028      4u7                      "CAP CER 4u7 10% 6.3V X7R 0805"                                                                         C17        CAP0805                          BottomLayer 180      
1964.567      3842.520      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C16        CAP0402                          TopLayer    180      
1893.701      3838.583      10u                      "CAP CER 10u 10% 6.3V X7R 0805"                                                                         C15        CAP0805                          TopLayer    90       
1295.276      3905.512      10u                      "CAP CER 10u 10% 25V X7R 1206"                                                                          C14        CAP1206                          TopLayer    90       
1200.787      3915.354      100n                     "CAP CER 100n 10% 25V X7R 0603"                                                                         C13        CAP0603                          TopLayer    90       
1496.063      3866.142      100n                     "CAP CER 100n 10% 25V X7R 0603"                                                                         C12        CAP0603                          TopLayer    90       
3649.843      618.110       100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C11        CAP0402                          TopLayer    180      
3559.055      625.984       10u                      "CAP CER 10u 10% 6.3V X7R 0805"                                                                         C10        CAP0805                          TopLayer    90       
3027.559      1976.378      22n                      "CAP CER 22n 10% 6.3V X7R 0402"                                                                         C9         CAP0402                          TopLayer    0        
3275.591      1728.347      1n                       "CAP CER 1n 5% 2000V 1206"                                                                              C8         CAP1206                          TopLayer    90       
2791.339      2503.937      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C7         CAP0402                          TopLayer    180      
2751.968      2503.937      470p                     "CAP CER 470p 10% 6.3V X7R 0402"                                                                        C6         CAP0402                          TopLayer    180      
2783.465      2618.110      10u                      "CAP CER 10u 10% 6.3V X7R 0805"                                                                         C5         CAP0805                          BottomLayer 180      
2822.835      2681.102      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C4         CAP0402                          BottomLayer 90       
3043.307      2507.874      10u                      "CAP CER 10u 10% 6.3V X7R 0805"                                                                         C3         CAP0805                          BottomLayer 90       
2972.441      2480.315      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C2         CAP0402                          BottomLayer 0        
2917.323      2480.315      100n                     "CAP CER 100n 10% 6.3V 0402"                                                                            C1         CAP0402                          BottomLayer 0        
